timestamp,session_id,total_games,games_won,games_lost,win_rate_percent,max_score,max_tile,total_moves,avg_moves_per_game,avg_ai_latency,avg_game_time,total_ai_suggestions,games_2,games_8,games_32,games_128,games_512,games_1024,games_2048,command_args
2025-09-03 00:51:10,20250903_005110_batch142,5,5,0,100.0,21196,2048,4903,980.6,0.071,70.09,4903,0,0,0,0,0,0,5,"batch=142, games_in_batch=5"
2025-09-03 00:52:22,20250903_005222_batch143,5,5,0,100.0,20676,2048,4795,959.0,0.068,65.42,4795,0,0,0,0,0,0,5,"batch=143, games_in_batch=5"
2025-09-03 00:53:38,20250903_005338_batch144,5,4,1,80.0,20240,2048,4794,958.8,0.073,69.69,4794,0,0,0,0,0,1,4,"batch=144, games_in_batch=5"
2025-09-03 00:54:52,20250903_005452_batch145,5,5,0,100.0,20528,2048,4799,959.8,0.071,68.6,4799,0,0,0,0,0,0,5,"batch=145, games_in_batch=5"
2025-09-03 00:56:05,20250903_005605_batch146,5,5,0,100.0,20604,2048,4773,954.6,0.074,70.52,4773,0,0,0,0,0,0,5,"batch=146, games_in_batch=5"
2025-09-03 00:57:18,20250903_005718_batch147,5,5,0,100.0,20540,2048,4763,952.6,0.073,69.51,4763,0,0,0,0,0,0,5,"batch=147, games_in_batch=5"
2025-09-03 00:58:35,20250903_005835_batch148,5,5,0,100.0,20624,2048,4781,956.2,0.072,69.09,4781,0,0,0,0,0,0,5,"batch=148, games_in_batch=5"
2025-09-03 00:59:45,20250903_005945_batch149,5,5,0,100.0,21144,2048,4777,955.4,0.07,66.69,4777,0,0,0,0,0,0,5,"batch=149, games_in_batch=5"
2025-09-03 01:01:04,20250903_010104_batch150,5,4,1,80.0,20176,2048,4635,927.0,0.074,68.88,4635,0,0,0,0,0,1,4,"batch=150, games_in_batch=5"
2025-09-03 01:02:14,20250903_010214_batch151,5,5,0,100.0,20228,2048,4766,953.2,0.068,64.52,4766,0,0,0,0,0,0,5,"batch=151, games_in_batch=5"
